age,attrition,business_travel,daily_rate,department,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,hourly_rate,job_involvement,job_level,job_role,job_satisfaction,marital_status,anual_income,monthly_rate,num_companies_worked,over18,over_time,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,year_birth,monthly_income,number_children,remote_work
52,Yes,Unknown,266.0,Unknown,2.0,1,Unknown,0,1,Female,57.0,1,2,Manager,4,Married,19845.0,25846.0,1,Yes,No,15.0,3,4,,1.0,33,3,3,32,0,6,9,1971,1653.75,,Yes
36,No,Unknown,429.0,Unknown,2.0,4,Life Sciences,1294,3,Female,53.0,3,2,Manufacturing Director,2,Single,7350.56,2323.0,9,Yes,Yes,11.0,3,4,,0.0,18,2,3,16,0,5,12,1987,612.55,,No
33,No,Travel Rarely,589.0,Unknown,28.0,4,Life Sciences,0,2,Male,79.0,3,2,Laboratory Technician,3,Married,3299.17,22949.0,1,Yes,Unknown,12.0,3,2,,1.0,15,3,3,15,0,5,7,1990,274.93,,Yes
34,No,Non Travel,807.05,Sales,10.0,3,Life Sciences,1774,4,Male,87.0,3,2,Sales Executive,3,Unknown,4001.0,12313.0,1,Yes,Yes,14.0,3,3,,1.0,15,3,3,15,0,0,7,1989,333.42,,Yes
41,No,Unknown,807.05,Sales,37.0,1,Unknown,1815,3,Female,81.0,3,3,Sales Executive,3,Divorced,10447.0,26458.0,0,Yes,Unknown,13.0,3,4,,1.0,0,3,4,22,0,13,5,1982,870.58,,Yes
0,No,Unknown,1180.0,Research & Development,25.0,3,Medical,1993,1,Male,84.0,3,3,Healthcare Representative,3,Unknown,7812.92,13084.0,2,Yes,Unknown,23.0,4,2,,0.0,25,3,3,17,0,12,11,1976,651.08,,Yes
53,No,Travel Rarely,1282.0,Unknown,5.0,3,Unknown,32,3,Female,58.0,3,2,Manager,3,Unknown,17421.96,10735.0,4,Yes,Unknown,11.0,3,4,,1.0,26,3,2,14,0,4,8,1970,1451.83,,Yes
35,No,Unknown,776.0,Unknown,1.0,4,Marketing,100,3,Male,32.0,2,2,Sales Executive,1,Single,6982.03,23016.0,0,Yes,No,14.0,0,2,80.0,0.0,16,2,3,15,0,2,8,1988,581.84,,No
34,No,Travel Rarely,665.0,Unknown,6.0,4,Other,0,1,Female,41.0,3,2,Research Scientist,3,Single,3314.25,12482.0,1,Yes,Unknown,14.0,3,3,,0.0,16,3,3,16,0,2,10,1989,276.19,,Yes
46,No,Travel Rarely,526.0,Unknown,1.0,2,Unknown,244,2,Female,92.0,3,3,Sales Executive,1,Divorced,6982.03,2137.0,1,Yes,No,25.0,4,3,,3.0,24,2,3,24,0,15,7,1977,581.84,,Yes
43,No,Unknown,1034.0,Unknown,16.0,3,Unknown,327,4,Female,80.0,3,4,Manager,4,Married,16064.0,7744.0,5,Yes,Unknown,22.0,4,3,,1.0,22,3,3,17,0,1,9,1980,1338.67,,Yes
36,No,Unknown,1403.0,Research & Development,6.0,3,Life Sciences,373,4,Male,47.0,3,1,Laboratory Technician,4,Married,3210.0,20251.0,0,Yes,Unknown,11.0,3,3,,1.0,16,4,3,15,0,10,11,1987,267.5,,Yes
60,No,Travel Frequently,1499.0,Unknown,28.0,3,Unknown,0,3,Female,80.0,2,3,Sales Executive,1,Married,10266.0,2845.0,4,Yes,No,19.0,3,4,,0.0,22,5,4,18,13,13,11,1963,855.5,,Yes
40,No,Travel Frequently,580.0,Unknown,5.0,4,Unknown,729,4,Male,48.0,2,3,Sales Executive,1,Married,10475.0,23772.0,5,Yes,Yes,21.0,4,3,80.0,1.0,20,2,3,18,0,1,12,1983,872.92,,No
32,No,Travel Rarely,859.0,Unknown,4.0,3,Unknown,830,3,Female,98.0,2,2,Manufacturing Director,3,Married,6162.0,19124.0,1,Yes,No,12.0,3,3,80.0,1.0,14,3,3,14,0,6,8,1991,513.5,,No
41,No,Travel Rarely,263.0,Unknown,35.0,3,Unknown,0,3,Male,59.0,3,1,Laboratory Technician,1,Single,4721.0,3119.0,2,Yes,Yes,13.0,0,3,,0.0,20,3,3,18,0,2,17,1982,393.42,,Yes
53,No,Unknown,1376.0,Unknown,2.0,2,Medical,981,3,Male,65.99,3,4,Manager,3,Divorced,17421.96,13938.0,6,Yes,No,13.0,3,3,,1.0,22,3,4,17,0,15,2,1970,1451.83,,No
36,Yes,Travel Rarely,885.0,Unknown,16.0,4,Unknown,1042,3,Female,43.0,4,1,Laboratory Technician,1,Single,3299.17,8269.0,1,Yes,Unknown,16.0,3,3,80.0,0.0,18,1,3,17,0,15,14,1987,274.93,,Yes
46,No,Unknown,1003.0,Unknown,8.0,4,Life Sciences,1080,4,Female,74.0,2,2,Research Scientist,1,Divorced,4615.0,21029.0,8,Yes,Yes,23.0,4,1,,3.0,0,2,3,16,0,1,7,1977,384.58,,No
38,No,Travel Rarely,1321.0,Unknown,1.0,4,Unknown,1995,4,Male,86.0,3,2,Sales Executive,2,Married,6982.03,7636.0,0,Yes,No,15.0,3,1,,2.0,16,3,0,15,0,5,8,1985,581.84,,Yes
51,No,Unknown,807.05,Unknown,1.0,4,Unknown,145,1,Female,30.0,2,3,Healthcare Representative,1,Single,7812.92,25796.0,3,Yes,Unknown,20.0,4,3,,0.0,23,1,2,13,0,12,8,1972,651.08,,Yes
43,No,Unknown,394.0,Unknown,26.0,2,Unknown,158,3,Male,92.0,3,4,Manager,4,Married,16959.0,19494.0,1,Yes,Yes,12.0,3,4,80.0,2.0,25,3,4,25,0,4,12,1980,1413.25,,Yes
37,No,Unknown,1372.0,Unknown,1.0,3,Life Sciences,391,4,Female,42.0,3,1,Research Scientist,4,Single,3314.25,15881.0,1,Yes,No,12.0,3,2,80.0,0.0,0,3,3,17,0,5,7,1986,276.19,,Yes
32,No,Travel Rarely,807.05,Unknown,8.0,2,Technical Degree,436,3,Female,65.0,2,2,Sales Executive,2,Married,6982.03,24624.0,1,Yes,Yes,11.0,3,4,80.0,0.0,0,2,3,13,12,11,9,1991,581.84,,Yes
38,No,Unknown,1333.0,Unknown,1.0,3,Unknown,0,4,Female,80.0,3,3,Research Director,1,Married,16089.84,16292.0,1,Yes,Unknown,13.0,3,2,,1.0,15,3,3,15,0,5,11,1985,1340.82,,No
46,No,Unknown,228.0,Unknown,3.0,3,Life Sciences,1527,3,Female,51.0,3,4,Manager,2,Unknown,17421.96,11380.0,8,Yes,No,12.0,3,4,80.0,1.0,23,2,4,13,0,5,1,1977,1451.83,,Yes
35,Yes,Travel Rarely,737.0,Unknown,10.0,3,Medical,0,4,Male,55.0,2,3,Sales Executive,1,Married,10306.0,21530.0,9,Yes,Unknown,17.0,3,3,,0.0,15,3,0,13,0,6,0,1988,858.83,,No
43,No,Unknown,823.0,Unknown,6.0,3,Medical,1866,1,Female,81.0,2,2,Manager,3,Married,17421.96,22539.0,7,Yes,No,13.0,3,4,,0.0,21,2,3,16,0,6,14,1980,1451.83,,Yes
56,No,Non Travel,667.0,Unknown,1.0,4,Life Sciences,2026,3,Male,57.0,3,2,Healthcare Representative,3,Divorced,7812.92,26236.0,1,Yes,No,21.0,0,1,,1.0,0,2,2,13,0,1,9,1967,651.08,,Yes
36,No,Non Travel,301.0,Unknown,15.0,4,Marketing,0,4,Male,88.0,1,2,Sales Executive,4,Divorced,5406.0,10436.0,1,Yes,No,24.0,4,1,80.0,1.0,0,4,2,15,0,11,11,1987,450.5,,Yes
38,No,Unknown,573.0,Unknown,6.0,3,Medical,107,2,Female,79.0,1,2,Research Scientist,4,Unknown,3314.25,15717.0,7,Yes,Unknown,12.0,3,4,,3.0,17,3,3,13,0,1,9,1985,276.19,,Yes
49,No,Unknown,807.05,Unknown,26.0,4,Medical,170,3,Female,96.0,3,2,Manufacturing Director,1,Unknown,7350.56,5549.0,1,Yes,No,14.0,3,3,,0.0,16,2,2,15,0,5,11,1974,612.55,,No
39,No,Travel Rarely,1329.0,Unknown,4.0,4,Life Sciences,0,4,Female,47.0,2,2,Sales Executive,3,Married,5902.0,14590.0,4,Yes,Unknown,14.0,3,3,80.0,1.0,17,1,4,15,0,5,9,1984,491.83,,Yes
40,No,Unknown,630.0,Unknown,4.0,4,Unknown,215,3,Male,67.0,2,3,Sales Executive,4,Married,10855.0,8552.0,7,Yes,No,11.0,0,1,,1.0,15,2,2,12,0,2,11,1983,904.58,,Yes
36,No,Unknown,807.05,Unknown,5.0,2,Unknown,304,4,Male,62.0,3,2,Laboratory Technician,2,Single,5914.0,9945.0,8,Yes,No,16.0,3,4,80.0,0.0,16,3,4,13,0,3,7,1987,492.83,,Yes
37,No,Unknown,1063.0,Unknown,25.0,3,Unknown,529,2,Female,72.0,3,2,Research Scientist,3,Married,3314.25,23866.0,3,Yes,Yes,15.0,3,1,80.0,2.0,15,2,3,13,0,10,7,1986,276.19,,No
35,No,Unknown,1017.0,Unknown,6.0,4,Unknown,691,2,Male,82.0,1,2,Research Scientist,4,Unknown,6646.0,19368.0,1,Yes,Unknown,13.0,3,2,,0.0,0,3,3,17,0,11,8,1988,553.83,,Yes
33,No,Travel Frequently,1296.0,Unknown,6.0,3,Life Sciences,692,3,Male,65.99,3,2,Healthcare Representative,4,Divorced,7812.92,5335.0,3,Yes,No,23.0,4,3,,1.0,15,2,1,13,0,4,7,1990,651.08,,No
50,No,Travel Rarely,939.0,Research & Development,24.0,3,Unknown,1005,4,Male,65.99,3,4,Manufacturing Director,3,Married,13973.0,4161.0,3,Yes,Yes,18.0,3,4,,1.0,22,2,3,12,0,1,5,1973,1164.42,,No
48,No,Travel Rarely,1355.0,Unknown,4.0,4,Unknown,1024,3,Male,78.0,2,3,Healthcare Representative,3,Single,7812.92,22245.0,7,Yes,Unknown,14.0,0,2,80.0,0.0,27,3,3,15,11,4,8,1975,651.08,,Yes
44,No,Travel Rarely,1448.0,Sales,28.0,3,Unknown,1039,4,Female,53.0,4,4,Sales Executive,4,Married,13320.0,11737.0,3,Yes,Unknown,18.0,3,3,80.0,1.0,0,2,3,12,0,11,11,1979,1110.0,,Yes
44,No,Travel Rarely,200.0,Unknown,29.0,4,Unknown,1225,4,Male,32.0,3,2,Research Scientist,4,Single,3314.25,7744.0,1,Yes,Unknown,25.0,4,2,,0.0,0,3,3,20,0,13,17,1979,276.19,,Yes
40,No,Unknown,1202.0,Unknown,25.0,1,Unknown,1375,2,Female,89.0,4,2,Healthcare Representative,3,Unknown,7812.92,13888.0,5,Yes,No,20.0,4,2,,3.0,15,0,3,12,0,11,8,1983,651.08,,Yes
34,No,Travel Rarely,404.0,Unknown,2.0,4,Unknown,0,3,Female,98.0,3,2,Healthcare Representative,4,Single,6687.0,6163.0,1,Yes,Unknown,11.0,3,4,80.0,0.0,14,2,4,14,0,4,11,1989,557.25,,Yes
35,No,Non Travel,208.0,Research & Development,8.0,4,Unknown,0,3,Female,52.0,3,2,Healthcare Representative,3,Unknown,7812.92,12250.0,1,Yes,Unknown,12.0,3,4,80.0,1.0,0,5,3,14,0,2,9,1988,651.08,,Yes
50,No,Unknown,813.0,Unknown,17.0,3,Life Sciences,0,4,Female,50.0,2,3,Research Director,1,Unknown,16089.84,21981.0,5,Yes,No,15.0,3,3,,3.0,0,3,3,14,11,1,11,1973,1340.82,,No
49,No,Unknown,465.0,Unknown,6.0,1,Life Sciences,1661,3,Female,41.0,2,4,Healthcare Representative,3,Unknown,7812.92,11652.0,2,Yes,Unknown,19.0,3,2,80.0,1.0,0,3,3,15,0,2,12,1974,651.08,,Yes
38,No,Travel Frequently,1189.0,Unknown,1.0,3,Life Sciences,1668,4,Male,90.0,3,2,Research Scientist,4,Unknown,4735.0,9867.0,7,Yes,No,15.0,3,4,80.0,2.0,19,4,0,13,0,2,9,1985,394.58,,Yes
33,No,Unknown,807.05,Unknown,21.0,3,Unknown,1698,2,Male,79.0,4,1,Laboratory Technician,2,Unknown,3299.17,13637.0,1,Yes,No,18.0,3,4,,3.0,14,6,0,14,0,2,13,1990,274.93,,Yes
47,No,Travel Rarely,1001.0,Unknown,4.0,3,Life Sciences,0,3,Female,92.0,2,3,Manufacturing Director,2,Divorced,7350.56,19271.0,8,Yes,Yes,12.0,0,3,,1.0,0,4,3,22,0,14,10,1976,612.55,,Yes
38,No,Unknown,1394.0,Research & Development,8.0,3,Unknown,1937,4,Female,58.0,2,2,Research Scientist,2,Divorced,3314.25,18115.0,1,Yes,Unknown,16.0,3,3,,1.0,20,3,3,20,0,0,7,1985,276.19,,No
37,No,Travel Rarely,161.0,Unknown,10.0,3,Life Sciences,2017,3,Female,42.0,4,3,Research Director,4,Unknown,16089.84,15471.0,1,Yes,Yes,25.0,4,1,,1.0,16,2,3,16,0,6,8,1986,1340.82,,Yes
30,No,Unknown,288.0,Unknown,2.0,3,Unknown,117,3,Male,99.0,2,2,Healthcare Representative,4,Married,7812.92,15830.0,1,Yes,No,19.0,0,1,80.0,3.0,11,3,3,11,0,10,8,1993,651.08,,Yes
0,No,Travel Rarely,682.0,Unknown,18.0,4,Unknown,131,4,Male,37.0,3,4,Sales Executive,3,Single,13872.0,24409.0,0,Yes,Unknown,13.0,3,3,,0.0,38,1,2,37,0,1,8,1965,1156.0,,Yes
34,No,Travel Rarely,1354.0,Unknown,5.0,3,Unknown,153,3,Female,45.0,2,3,Manager,1,Single,17421.96,5615.0,2,Yes,Unknown,12.0,3,4,80.0,0.0,14,6,3,11,0,5,8,1989,1451.83,,No
58,Yes,Travel Rarely,147.0,Unknown,23.0,4,Medical,0,4,Female,94.0,3,3,Healthcare Representative,4,Married,7812.92,3465.0,1,Yes,Unknown,12.0,3,4,,1.0,40,3,2,40,0,15,6,1965,651.08,,Yes
38,No,Unknown,119.0,Unknown,3.0,3,Life Sciences,307,1,Male,76.0,3,3,Sales Executive,3,Divorced,6982.03,9647.0,0,Yes,Unknown,12.0,3,3,,2.0,0,6,2,16,0,5,13,1985,581.84,,Yes
29,No,Travel Frequently,1413.0,Unknown,1.0,1,Unknown,0,2,Female,42.0,3,3,Sales Executive,4,Married,6982.03,6599.0,1,Yes,Unknown,14.0,3,4,,1.0,11,5,3,11,0,4,1,1994,581.84,,Yes
55,No,Travel Rarely,452.0,Unknown,1.0,3,Medical,374,4,Male,81.0,3,2,Manager,1,Single,19045.0,18938.0,0,Yes,Unknown,14.0,3,3,,0.0,37,2,3,36,0,4,13,1968,1587.08,,Yes
41,No,Unknown,334.0,Unknown,10.0,4,Unknown,0,4,Male,88.0,3,4,Manager,2,Unknown,16015.0,15896.0,1,Yes,Unknown,19.0,3,2,,0.0,0,2,3,22,0,0,4,1982,1334.58,,Yes
39,No,Travel Rarely,1132.0,Research & Development,1.0,3,Unknown,0,3,Male,48.0,4,3,Healthcare Representative,4,Unknown,9613.0,10942.0,0,Yes,No,17.0,0,1,80.0,3.0,19,5,2,18,0,3,7,1984,801.08,,No
38,No,Unknown,807.05,Unknown,15.0,2,Life Sciences,0,3,Male,92.0,2,3,Research Director,4,Unknown,11510.0,15682.0,0,Yes,Unknown,14.0,3,2,,1.0,0,3,3,11,0,2,9,1985,959.17,,Yes
43,No,Unknown,982.0,Unknown,12.0,3,Unknown,0,1,Male,59.0,2,4,Research Director,2,Unknown,16089.84,4345.0,1,Yes,No,11.0,3,3,80.0,1.0,0,3,0,25,0,3,9,1980,1340.82,,Yes
31,No,Unknown,480.0,Unknown,30.0,2,Unknown,524,2,Female,31.0,3,2,Manufacturing Director,1,Married,4306.0,4156.0,1,Yes,No,12.0,3,2,80.0,1.0,13,5,1,13,0,3,12,1992,358.83,,Yes
50,No,Travel Rarely,1099.0,Research & Development,27.0,4,Life Sciences,569,2,Male,88.0,2,4,Manager,3,Married,17046.0,9314.0,0,Yes,No,15.0,3,2,,1.0,28,2,3,27,0,15,7,1973,1420.5,,Yes
35,No,Unknown,672.0,Unknown,25.0,3,Technical Degree,899,4,Male,78.0,2,3,Manufacturing Director,2,Married,7350.56,9129.0,3,Yes,No,16.0,0,1,,0.0,0,2,3,13,0,4,8,1988,612.55,,No
47,No,Unknown,1379.0,Unknown,16.0,4,Unknown,0,3,Male,64.0,4,2,Manufacturing Director,3,Unknown,5067.0,6759.0,1,Yes,Yes,19.0,3,3,,0.0,20,3,0,19,0,2,7,1976,422.25,,Yes
35,No,Unknown,583.0,Research & Development,25.0,4,Unknown,1014,3,Female,57.0,3,3,Healthcare Representative,3,Divorced,7812.92,6975.0,1,Yes,Yes,11.0,0,3,,1.0,0,3,2,16,0,10,1,1988,651.08,,Yes
40,No,Travel Rarely,1492.0,Unknown,20.0,4,Unknown,0,1,Male,61.0,3,3,Healthcare Representative,4,Married,7812.92,26542.0,4,Yes,Unknown,20.0,4,4,,1.0,14,6,3,11,0,11,1,1983,651.08,,Yes
45,No,Unknown,1050.0,Sales,9.0,4,Life Sciences,1117,2,Female,65.0,2,2,Sales Executive,3,Married,6982.03,17970.0,1,Yes,Unknown,13.0,3,4,80.0,1.0,15,2,3,15,0,4,12,1978,581.84,,No
33,No,Unknown,117.0,Research & Development,9.0,3,Medical,1238,1,Male,60.0,3,1,Research Scientist,4,Married,3314.25,6311.0,0,Yes,Unknown,13.0,3,2,,1.0,15,5,3,14,0,4,10,1990,276.19,,No
36,No,Travel Frequently,469.0,Unknown,3.0,3,Unknown,0,3,Male,46.0,3,1,Research Scientist,2,Married,3692.0,9256.0,1,Yes,No,12.0,3,3,,0.0,12,2,2,11,0,0,7,1987,307.67,,No
45,Yes,Unknown,807.05,Unknown,13.0,3,Marketing,1277,1,Female,94.0,1,2,Manager,2,Unknown,17421.96,2493.0,2,Yes,Yes,16.0,3,1,,0.0,26,2,3,24,0,1,11,1978,1451.83,,Yes
51,No,Travel Frequently,237.0,Unknown,27.0,3,Unknown,0,2,Male,83.0,3,2,Manager,2,Unknown,19847.0,19196.0,4,Yes,Yes,24.0,0,1,,1.0,0,5,2,29,0,11,10,1972,1653.92,,No
34,No,Travel Rarely,1440.0,Unknown,7.0,2,Technical Degree,1541,2,Male,55.0,3,1,Sales Representative,3,Unknown,2308.0,4944.0,0,Yes,Yes,25.0,4,2,,1.0,12,4,3,11,0,5,7,1989,192.33,,No
43,No,Travel Rarely,1291.0,Research & Development,15.0,2,Unknown,1666,3,Male,65.0,2,4,Research Director,3,Unknown,16089.84,3525.0,1,Yes,No,24.0,4,1,,1.0,0,3,3,14,0,6,11,1980,1340.82,,Yes
34,No,Unknown,1157.0,Unknown,5.0,2,Medical,1696,2,Male,57.0,2,2,Laboratory Technician,4,Unknown,3299.17,11912.0,1,Yes,No,14.0,3,3,,1.0,0,3,0,15,0,4,13,1989,274.93,,No
38,No,Unknown,1336.0,Unknown,2.0,3,Unknown,1805,1,Male,100.0,3,1,Human Resources,2,Divorced,4706.75,7129.0,5,Yes,No,13.0,3,4,,3.0,13,3,3,11,0,3,8,1985,392.23,,Yes
48,No,Unknown,1224.0,Unknown,10.0,3,Unknown,0,4,Male,91.0,2,2,Research Director,2,Unknown,16089.84,13583.0,4,Yes,No,12.0,3,4,,0.0,29,3,3,22,0,12,9,1975,1340.82,,No
34,No,Unknown,735.0,Research & Development,22.0,4,Other,1932,3,Male,86.0,2,2,Research Scientist,4,Married,5747.0,26496.0,1,Yes,Yes,15.0,3,2,,0.0,16,3,3,15,0,6,11,1989,478.92,,No
32,No,Travel Rarely,807.05,Unknown,31.0,4,Unknown,2016,3,Female,48.0,3,3,Sales Executive,4,Unknown,10422.0,24032.0,1,Yes,No,19.0,3,3,,2.0,14,3,3,14,0,5,7,1991,868.5,,Yes
29,No,Travel Rarely,1389.0,Unknown,21.0,4,Life Sciences,20,2,Female,51.0,4,3,Manufacturing Director,1,Divorced,7350.56,10195.0,1,Yes,No,11.0,3,3,,1.0,10,1,3,10,0,8,8,1994,612.55,,No
46,No,Unknown,638.0,Unknown,1.0,3,Medical,0,3,Male,40.0,2,3,Healthcare Representative,1,Married,7812.92,3142.0,2,Yes,Yes,13.0,3,3,,1.0,21,5,2,10,0,9,5,1977,651.08,,No
30,No,Unknown,1240.0,Human Resources,9.0,3,Unknown,184,3,Male,48.0,3,2,Human Resources,4,Married,6347.0,13982.0,0,Yes,Yes,19.0,3,4,80.0,0.0,0,2,1,11,0,4,7,1993,528.92,,No
45,No,Unknown,194.0,Unknown,9.0,3,Life Sciences,206,2,Male,60.0,3,2,Laboratory Technician,2,Unknown,2348.0,10901.0,8,Yes,No,18.0,3,3,,1.0,20,2,0,17,0,0,15,1978,195.67,,Yes
30,No,Travel Rarely,1339.0,Unknown,5.0,3,Unknown,228,2,Female,41.0,3,3,Sales Executive,4,Unknown,6982.03,8053.0,2,Yes,No,12.0,3,3,,1.0,0,2,3,10,0,7,4,1993,581.84,,Yes
30,No,Unknown,111.0,Unknown,9.0,3,Unknown,239,3,Male,66.0,3,2,Laboratory Technician,1,Unknown,3072.0,11012.0,1,Yes,No,11.0,0,3,80.0,2.0,12,4,3,12,0,6,10,1993,256.0,,Yes
34,No,Travel Frequently,807.05,Unknown,29.0,1,Unknown,256,4,Male,45.0,2,2,Manufacturing Director,3,Married,7350.56,14074.0,1,Yes,Unknown,17.0,3,3,,0.0,10,2,2,10,0,1,9,1989,612.55,,No
